"spp","site","n_trees","n_crop","prop_crop","max_crop_dbh","mean_crop_dbh","dbh_50pct","effective_dbh_threshold","scenario","factor_type","factor_value"
"BM","clayplain",912,234,0.256578947368421,17,12.3034188034188,10,10,"base","base",1
"BM","granitictill",912,215,0.235745614035088,18,12.4511627906977,10,10,"base","base",1
"BM","mountaintill",912,230,0.25219298245614,17,12.6608695652174,10,10,"base","base",1
"BM","richnhw",912,218,0.239035087719298,17,12.8256880733945,10,10,"base","base",1
"PB","clayplain",912,183,0.200657894736842,17,12.5464480874317,10,10,"base","base",1
"PB","granitictill",912,175,0.191885964912281,19,13.0342857142857,11,11,"base","base",1
"PB","mountaintill",912,147,0.161184210526316,19,13.5646258503401,28,28,"base","base",1
"PB","richnhw",912,139,0.152412280701754,18,13.568345323741,28,28,"base","base",1
"RM","clayplain",912,311,0.341008771929825,19,13.1768488745981,10,10,"base","base",1
"RM","granitictill",912,301,0.330043859649123,19,13.328903654485,10,10,"base","base",1
"RM","mountaintill",912,289,0.316885964912281,20,13.8304498269896,10,10,"base","base",1
"RM","richnhw",912,281,0.308114035087719,19,13.7580071174377,10,10,"base","base",1
"SO","clayplain",912,320,0.350877192982456,20,13.06875,10,10,"base","base",1
"SO","granitictill",912,330,0.361842105263158,20,13.3212121212121,10,10,"base","base",1
"SO","mountaintill",912,328,0.359649122807018,21,13.6707317073171,10,10,"base","base",1
"SO","richnhw",912,321,0.351973684210526,20,13.5015576323988,10,10,"base","base",1
"WO","clayplain",912,388,0.425438596491228,20,13.7809278350515,10,10,"base","base",1
"WO","granitictill",912,405,0.444078947368421,21,14.0148148148148,10,10,"base","base",1
"WO","mountaintill",912,400,0.43859649122807,21,14.0725,10,10,"base","base",1
"WO","richnhw",912,390,0.427631578947368,20,14,10,10,"base","base",1
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"base","base",1
"WP","granitictill",912,3,0.00328947368421053,10,10,28,28,"base","base",1
"WP","mountaintill",912,0,0,NA,NA,NA,0,"base","base",1
"WP","richnhw",912,0,0,NA,NA,NA,0,"base","base",1
"YB","clayplain",342,234,0.684210526315789,24,16.0598290598291,10,10,"base","base",1
"YB","granitictill",342,180,0.526315789473684,21,14.6388888888889,10,10,"base","base",1
"YB","mountaintill",342,182,0.532163742690059,21,14.7252747252747,10,10,"base","base",1
"YB","richnhw",342,244,0.713450292397661,25,16.3401639344262,10,10,"base","base",1
"BM","clayplain",912,282,0.309210526315789,17,12.6595744680851,10,10,"mortality_0.4","mortality",0.4
"BM","granitictill",912,264,0.289473684210526,18,12.6818181818182,10,10,"mortality_0.4","mortality",0.4
"BM","mountaintill",912,265,0.290570175438596,18,12.8301886792453,10,10,"mortality_0.4","mortality",0.4
"BM","richnhw",912,259,0.283991228070175,18,12.8918918918919,10,10,"mortality_0.4","mortality",0.4
"PB","clayplain",912,247,0.270833333333333,18,12.8421052631579,10,10,"mortality_0.4","mortality",0.4
"PB","granitictill",912,222,0.243421052631579,19,13.1351351351351,10,10,"mortality_0.4","mortality",0.4
"PB","mountaintill",912,195,0.213815789473684,19,13.6102564102564,13,13,"mortality_0.4","mortality",0.4
"PB","richnhw",912,179,0.196271929824561,18,13.5307262569832,28,28,"mortality_0.4","mortality",0.4
"RM","clayplain",912,364,0.399122807017544,20,13.6043956043956,10,10,"mortality_0.4","mortality",0.4
"RM","granitictill",912,345,0.378289473684211,20,13.5971014492754,10,10,"mortality_0.4","mortality",0.4
"RM","mountaintill",912,342,0.375,20,13.9736842105263,10,10,"mortality_0.4","mortality",0.4
"RM","richnhw",912,327,0.358552631578947,20,13.9051987767584,10,10,"mortality_0.4","mortality",0.4
"SO","clayplain",912,358,0.392543859649123,20,13.4245810055866,10,10,"mortality_0.4","mortality",0.4
"SO","granitictill",912,362,0.396929824561404,20,13.5303867403315,10,10,"mortality_0.4","mortality",0.4
"SO","mountaintill",912,367,0.402412280701754,21,13.7738419618529,10,10,"mortality_0.4","mortality",0.4
"SO","richnhw",912,358,0.392543859649123,20,13.6201117318436,10,10,"mortality_0.4","mortality",0.4
"WO","clayplain",912,421,0.461622807017544,21,14.0926365795724,10,10,"mortality_0.4","mortality",0.4
"WO","granitictill",912,431,0.472587719298246,21,14.2436194895592,10,10,"mortality_0.4","mortality",0.4
"WO","mountaintill",912,428,0.469298245614035,21,14.3084112149533,10,10,"mortality_0.4","mortality",0.4
"WO","richnhw",912,420,0.460526315789474,21,14.2690476190476,10,10,"mortality_0.4","mortality",0.4
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"mortality_0.4","mortality",0.4
"WP","granitictill",912,12,0.0131578947368421,11,10.25,28,28,"mortality_0.4","mortality",0.4
"WP","mountaintill",912,3,0.00328947368421053,10,10,28,28,"mortality_0.4","mortality",0.4
"WP","richnhw",912,0,0,NA,NA,NA,0,"mortality_0.4","mortality",0.4
"YB","clayplain",342,253,0.739766081871345,24,16.5652173913043,10,10,"mortality_0.4","mortality",0.4
"YB","granitictill",342,195,0.570175438596491,21,14.9692307692308,10,10,"mortality_0.4","mortality",0.4
"YB","mountaintill",342,198,0.578947368421053,22,15.0959595959596,10,10,"mortality_0.4","mortality",0.4
"YB","richnhw",342,254,0.742690058479532,25,16.6141732283465,10,10,"mortality_0.4","mortality",0.4
"BM","clayplain",912,183,0.200657894736842,16,12.0546448087432,10,10,"mortality_0.8","mortality",0.8
"BM","granitictill",912,164,0.179824561403509,17,12.2134146341463,10,10,"mortality_0.8","mortality",0.8
"BM","mountaintill",912,188,0.206140350877193,17,12.5478723404255,10,10,"mortality_0.8","mortality",0.8
"BM","richnhw",912,180,0.197368421052632,17,12.6722222222222,10,10,"mortality_0.8","mortality",0.8
"PB","clayplain",912,130,0.142543859649123,17,12.3615384615385,13,13,"mortality_0.8","mortality",0.8
"PB","granitictill",912,130,0.142543859649123,18,12.9769230769231,28,28,"mortality_0.8","mortality",0.8
"PB","mountaintill",912,105,0.115131578947368,19,13.6380952380952,28,28,"mortality_0.8","mortality",0.8
"PB","richnhw",912,98,0.107456140350877,17,13.3877551020408,28,28,"mortality_0.8","mortality",0.8
"RM","clayplain",912,265,0.290570175438596,19,12.9471698113208,10,10,"mortality_0.8","mortality",0.8
"RM","granitictill",912,252,0.276315789473684,19,13.2103174603175,10,10,"mortality_0.8","mortality",0.8
"RM","mountaintill",912,238,0.260964912280702,20,13.7436974789916,10,10,"mortality_0.8","mortality",0.8
"RM","richnhw",912,234,0.256578947368421,19,13.6410256410256,11,11,"mortality_0.8","mortality",0.8
"SO","clayplain",912,271,0.297149122807018,19,12.7343173431734,10,10,"mortality_0.8","mortality",0.8
"SO","granitictill",912,286,0.31359649122807,19,13.1118881118881,10,10,"mortality_0.8","mortality",0.8
"SO","mountaintill",912,284,0.31140350877193,21,13.5316901408451,10,10,"mortality_0.8","mortality",0.8
"SO","richnhw",912,284,0.31140350877193,20,13.4014084507042,10,10,"mortality_0.8","mortality",0.8
"WO","clayplain",912,345,0.378289473684211,19,13.3942028985507,10,10,"mortality_0.8","mortality",0.8
"WO","granitictill",912,373,0.408991228070175,21,13.7828418230563,10,10,"mortality_0.8","mortality",0.8
"WO","mountaintill",912,364,0.399122807017544,21,13.9065934065934,10,10,"mortality_0.8","mortality",0.8
"WO","richnhw",912,358,0.392543859649123,20,13.8100558659218,10,10,"mortality_0.8","mortality",0.8
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"mortality_0.8","mortality",0.8
"WP","granitictill",912,3,0.00328947368421053,10,10,28,28,"mortality_0.8","mortality",0.8
"WP","mountaintill",912,0,0,NA,NA,NA,0,"mortality_0.8","mortality",0.8
"WP","richnhw",912,0,0,NA,NA,NA,0,"mortality_0.8","mortality",0.8
"YB","clayplain",342,214,0.625730994152047,23,15.4906542056075,10,10,"mortality_0.8","mortality",0.8
"YB","granitictill",342,163,0.476608187134503,20,14.239263803681,10,10,"mortality_0.8","mortality",0.8
"YB","mountaintill",342,169,0.494152046783626,21,14.4733727810651,10,10,"mortality_0.8","mortality",0.8
"YB","richnhw",342,231,0.675438596491228,24,15.978354978355,10,10,"mortality_0.8","mortality",0.8
"BM","clayplain",912,147,0.161184210526316,15,11.8707482993197,10,10,"mortality_1","mortality",1
"BM","granitictill",912,123,0.134868421052632,16,11.8861788617886,10,10,"mortality_1","mortality",1
"BM","mountaintill",912,156,0.171052631578947,16,12.4294871794872,10,10,"mortality_1","mortality",1
"BM","richnhw",912,142,0.155701754385965,16,12.4788732394366,12,12,"mortality_1","mortality",1
"PB","clayplain",912,82,0.0899122807017544,16,12.1829268292683,28,28,"mortality_1","mortality",1
"PB","granitictill",912,92,0.100877192982456,17,12.8695652173913,28,28,"mortality_1","mortality",1
"PB","mountaintill",912,81,0.0888157894736842,18,13.4938271604938,28,28,"mortality_1","mortality",1
"PB","richnhw",912,74,0.081140350877193,17,13.3243243243243,28,28,"mortality_1","mortality",1
"RM","clayplain",912,214,0.234649122807018,18,12.6728971962617,10,10,"mortality_1","mortality",1
"RM","granitictill",912,208,0.228070175438596,19,13.0769230769231,10,10,"mortality_1","mortality",1
"RM","mountaintill",912,201,0.220394736842105,20,13.7512437810945,13,13,"mortality_1","mortality",1
"RM","richnhw",912,196,0.214912280701754,19,13.5612244897959,13,13,"mortality_1","mortality",1
"SO","clayplain",912,226,0.24780701754386,19,12.5221238938053,10,10,"mortality_1","mortality",1
"SO","granitictill",912,242,0.265350877192982,19,12.9380165289256,10,10,"mortality_1","mortality",1
"SO","mountaintill",912,235,0.257675438596491,20,13.4297872340426,10,10,"mortality_1","mortality",1
"SO","richnhw",912,241,0.264254385964912,20,13.2821576763485,10,10,"mortality_1","mortality",1
"WO","clayplain",912,310,0.339912280701754,19,13.1064516129032,10,10,"mortality_1","mortality",1
"WO","granitictill",912,336,0.368421052631579,21,13.5535714285714,10,10,"mortality_1","mortality",1
"WO","mountaintill",912,332,0.364035087719298,21,13.7951807228916,10,10,"mortality_1","mortality",1
"WO","richnhw",912,323,0.354166666666667,19,13.5851393188854,10,10,"mortality_1","mortality",1
"WP","clayplain",912,9,0.00986842105263158,11,10.3333333333333,28,28,"mortality_1","mortality",1
"WP","granitictill",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1
"WP","mountaintill",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1
"WP","richnhw",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1
"YB","clayplain",342,191,0.558479532163743,22,14.9528795811518,10,10,"mortality_1","mortality",1
"YB","granitictill",342,145,0.423976608187135,20,13.8620689655172,10,10,"mortality_1","mortality",1
"YB","mountaintill",342,151,0.441520467836257,20,14.1920529801325,10,10,"mortality_1","mortality",1
"YB","richnhw",342,214,0.625730994152047,24,15.6028037383178,10,10,"mortality_1","mortality",1
"BM","clayplain",912,243,0.266447368421053,17,12.3004115226337,10,10,"lev_0.5","lev",0.5
"BM","granitictill",912,242,0.265350877192982,18,12.4214876033058,10,10,"lev_0.5","lev",0.5
"BM","mountaintill",912,259,0.283991228070175,18,12.6370656370656,10,10,"lev_0.5","lev",0.5
"BM","richnhw",912,261,0.286184210526316,18,12.7164750957854,10,10,"lev_0.5","lev",0.5
"PB","clayplain",912,223,0.244517543859649,17,12.4843049327354,10,10,"lev_0.5","lev",0.5
"PB","granitictill",912,228,0.25,19,12.8421052631579,10,10,"lev_0.5","lev",0.5
"PB","mountaintill",912,218,0.239035087719298,19,13.1605504587156,10,10,"lev_0.5","lev",0.5
"PB","richnhw",912,223,0.244517543859649,18,13.0448430493274,10,10,"lev_0.5","lev",0.5
"RM","clayplain",912,334,0.366228070175439,19,13.2365269461078,10,10,"lev_0.5","lev",0.5
"RM","granitictill",912,333,0.365131578947368,19,13.3333333333333,10,10,"lev_0.5","lev",0.5
"RM","mountaintill",912,349,0.382675438596491,20,13.6704871060172,10,10,"lev_0.5","lev",0.5
"RM","richnhw",912,353,0.387061403508772,20,13.657223796034,10,10,"lev_0.5","lev",0.5
"SO","clayplain",912,329,0.360745614035088,20,13.1276595744681,10,10,"lev_0.5","lev",0.5
"SO","granitictill",912,346,0.379385964912281,20,13.3872832369942,10,10,"lev_0.5","lev",0.5
"SO","mountaintill",912,361,0.395833333333333,21,13.6343490304709,10,10,"lev_0.5","lev",0.5
"SO","richnhw",912,358,0.392543859649123,20,13.4664804469274,10,10,"lev_0.5","lev",0.5
"WO","clayplain",912,396,0.434210526315789,20,13.8409090909091,10,10,"lev_0.5","lev",0.5
"WO","granitictill",912,415,0.455043859649123,21,14.0578313253012,10,10,"lev_0.5","lev",0.5
"WO","mountaintill",912,416,0.456140350877193,21,14.0913461538462,10,10,"lev_0.5","lev",0.5
"WO","richnhw",912,419,0.459429824561404,21,14.109785202864,10,10,"lev_0.5","lev",0.5
"WP","clayplain",912,21,0.0230263157894737,11,10.1428571428571,28,28,"lev_0.5","lev",0.5
"WP","granitictill",912,36,0.0394736842105263,12,10.8333333333333,28,28,"lev_0.5","lev",0.5
"WP","mountaintill",912,30,0.0328947368421053,12,10.7,28,28,"lev_0.5","lev",0.5
"WP","richnhw",912,21,0.0230263157894737,12,10.4285714285714,28,28,"lev_0.5","lev",0.5
"YB","clayplain",342,235,0.687134502923977,24,16.0851063829787,10,10,"lev_0.5","lev",0.5
"YB","granitictill",342,181,0.529239766081871,21,14.646408839779,10,10,"lev_0.5","lev",0.5
"YB","mountaintill",342,187,0.546783625730994,21,14.8181818181818,10,10,"lev_0.5","lev",0.5
"YB","richnhw",342,246,0.719298245614035,25,16.3943089430894,10,10,"lev_0.5","lev",0.5
"BM","clayplain",912,239,0.262061403508772,17,12.3054393305439,10,10,"lev_0.75","lev",0.75
"BM","granitictill",912,227,0.24890350877193,18,12.4625550660793,10,10,"lev_0.75","lev",0.75
"BM","mountaintill",912,243,0.266447368421053,17,12.6666666666667,10,10,"lev_0.75","lev",0.75
"BM","richnhw",912,246,0.269736842105263,17,12.739837398374,10,10,"lev_0.75","lev",0.75
"PB","clayplain",912,207,0.226973684210526,17,12.5217391304348,10,10,"lev_0.75","lev",0.75
"PB","granitictill",912,199,0.218201754385965,19,12.8994974874372,10,10,"lev_0.75","lev",0.75
"PB","mountaintill",912,182,0.199561403508772,19,13.3351648351648,13,13,"lev_0.75","lev",0.75
"PB","richnhw",912,177,0.194078947368421,18,13.271186440678,13,13,"lev_0.75","lev",0.75
"RM","clayplain",912,324,0.355263157894737,19,13.2067901234568,10,10,"lev_0.75","lev",0.75
"RM","granitictill",912,319,0.349780701754386,19,13.3542319749216,10,10,"lev_0.75","lev",0.75
"RM","mountaintill",912,324,0.355263157894737,20,13.6975308641975,10,10,"lev_0.75","lev",0.75
"RM","richnhw",912,325,0.356359649122807,20,13.7261538461538,10,10,"lev_0.75","lev",0.75
"SO","clayplain",912,324,0.355263157894737,20,13.1018518518519,10,10,"lev_0.75","lev",0.75
"SO","granitictill",912,340,0.37280701754386,20,13.35,10,10,"lev_0.75","lev",0.75
"SO","mountaintill",912,348,0.381578947368421,21,13.6063218390805,10,10,"lev_0.75","lev",0.75
"SO","richnhw",912,349,0.382675438596491,20,13.4699140401146,10,10,"lev_0.75","lev",0.75
"WO","clayplain",912,391,0.428728070175439,20,13.7979539641944,10,10,"lev_0.75","lev",0.75
"WO","granitictill",912,411,0.450657894736842,21,14.0389294403893,10,10,"lev_0.75","lev",0.75
"WO","mountaintill",912,407,0.446271929824561,21,14.0810810810811,10,10,"lev_0.75","lev",0.75
"WO","richnhw",912,403,0.441885964912281,20,14.0272952853598,10,10,"lev_0.75","lev",0.75
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"lev_0.75","lev",0.75
"WP","granitictill",912,12,0.0131578947368421,11,10.25,28,28,"lev_0.75","lev",0.75
"WP","mountaintill",912,12,0.0131578947368421,11,10.5,28,28,"lev_0.75","lev",0.75
"WP","richnhw",912,9,0.00986842105263158,11,10.3333333333333,28,28,"lev_0.75","lev",0.75
